filename,transcript
utt_0001.wav,bugun havo juda yaxshi korinayapti
utt_0002.wav,men kitob oqishni yaxshi koraman
utt_0003.wav,bozorga borib meva sotib oldim
utt_0004.wav,uyga qaytish vaqti keldi
utt_0005.wav,ona taom tayyorlab berdi
utt_0006.wav,ukam maktabda oqiyapti
utt_0007.wav,sportga borish kerak bugun
utt_0008.wav,yangi film juda qiziqarli edi
utt_0009.wav,kitobxonda juda ko'p odamlar bor
utt_0010.wav,muzeyga tashrif buyurish rejalashtirdik
utt_0011.wav,do'stlarim bilan uchrashmoqchiman
utt_0012.wav,kampyuterda ishlash oson emas
utt_0013.wav,telefon batareyasi tugab qoldi
utt_0014.wav,kechqurun sayr qilish foydali
utt_0015.wav,darslarimni tayyorlashim kerak edi
utt_0016.wav,tog'larga sayohatga boramiz yozda
utt_0017.wav,restoranda milliy taomlar buyurdik
utt_0018.wav,haydovchilik guvohnomasini oldim bugun
utt_0019.wav,shifokor menga dori yozib berdi
utt_0020.wav,universitet yaqinida yashashni xohlayman
utt_0021.wav,kuzda barglar sariqqa aylanadi
utt_0022.wav,qishda qor yog'ishi kutilmoqda
utt_0023.wav,bahorda gullar ocha boshlaydi
utt_0024.wav,yozda dengizga dam olishga boramiz
utt_0025.wav,choyxonada do'stlar bilan gaplashdik
utt_0026.wav,kechasi osmon yulduzlar bilan to'lgan
utt_0027.wav,ertalab quyosh chiroyli chiqdi
utt_0028.wav,tushlik paytida ovqatlandim
utt_0029.wav,nonushta qilish juda muhim
utt_0030.wav,oshxonada men uchun ovqat tayyorlanmoqda
utt_0031.wav,bir soat oldin sport majmuasiga yozildim
utt_0032.wav,suzish basseyniga boraman haftasiga ikki martta
utt_0033.wav,menga futbol o'ynash juda yoqadi
utt_0034.wav,dostim uchun shahmat o'rganish qiyin emas
utt_0035.wav,odatta musiqa tinglash ruhni ko'taradi
utt_0036.wav,keyingi yildan boshlab gitara chalishni o'rganmoqchiman
utt_0037.wav,rasmga chizish qiziqarli mashg'ulot
utt_0038.wav,fotografiya bilan shug'ullanaman
utt_0039.wav,sayohat qilish dunyo ko'rish demak
utt_0040.wav,yangi mamlakatlarni ko'rmoqchiman
utt_0041.wav,chet tillarni o'rganish foydali chunki
utt_0042.wav,ingliz tilini mukammal bilaman deb oylar edim
utt_0043.wav,arab tilidan tashqari rus tilini ham o'rganayapman
utt_0044.wav,universitetda matematika darslarida yaxshi o'qiyman
utt_0045.wav,tarix fani juda qiziqarli chunki oqituvchimiz yaxshi tushintiradi
utt_0046.wav,geografiya fanida xaritalarni o'rganamiz
utt_0047.wav,beshinchi sinf biologiyasida o'simliklarni o'rgandik
utt_0048.wav,kimyo honasida otkaziladigan tajribalar juda qiziq
utt_0049.wav,fizika qonunlari aql bovar qilmaydigan darajada
utt_0050.wav,adabiyotda navoiyning she'rlarini tahlil qildik
utt_0051.wav,dasturlashni o'rganmoqchiman deb oylayotgan edim
utt_0052.wav,veb sayt yaratish juda oson va befoyda
utt_0053.wav,kopchilikning fikricha sun'iy intellekt kelajakni o'zgartiradi
utt_0054.wav,robotlar ishlab chiqarish rivojlanmoqda
utt_0055.wav,kosmosni o'rganish davom etmoqda
utt_0056.wav,yangi texnologiyalar hayotni osonlashtiradi
utt_0057.wav,elektromobillar keng tarqalmoqda
utt_0058.wav,quyosh energiyasi ekologik toza va tugamaydigan energiya
utt_0059.wav,inson salomatligi eng muhim boylik hisoblanadi
utt_0060.wav,muntazam sport bilan shug'ullanish kerak
utt_0061.wav,sog'lom ovqatlanish hayot davomini uzaytiradi
utt_0062.wav,uxlash rejimini saqlash zarur
utt_0063.wav,stressdan qochish muhim vazifa bolib qolgan songi vaqtlarda
utt_0064.wav,meditatsiya qilish foydali odat
utt_0065.wav,yoga mashqlari tanani mustahkamlaydi
utt_0066.wav,yurish eng oson sport turi bolsada singlim kop yurmaydi
utt_0067.wav,velosipedga minish yoqimli mashg'ulot
utt_0068.wav,tog'larga chiqish qiyin lekin foydali
utt_0069.wav,tinch va sokin dengizda suzish juda yaxshi
utt_0070.wav,tabiatda vaqt o'tkazish zarur
utt_0071.wav,qushlarning sayraganini tinglash yoqimli
utt_0072.wav,tunov kuni daryo bo'yida dam oldik
utt_0073.wav,o'rmon havosi juda toza sababi darahtlar kop
utt_0074.wav,keyingi haftaga cho'l safarini rejalashtirmoqdamiz
utt_0075.wav,qishloqda odamlar mehribon va smiymiy
utt_0076.wav,shahar hayoti tez sur'atda rivojlanib bormoqda
utt_0077.wav,shahrimizda ko'chada transport tiqilishi bor
utt_0078.wav,tirband vaqtlarda avtobusda joy topish qiyin
utt_0079.wav,dunyo boylab metro eng tez transport turi
utt_0080.wav,taksi chaqirdim uyga borish uchun
utt_0081.wav,piyoda yurish sog'lom odat
utt_0082.wav,qo'shni bilan salomlashdik bugun
utt_0083.wav,hammom qabul qilish kerak edi
utt_0084.wav,tish yuvish kundalik vazifa
utt_0085.wav,soch tarashga vaqt topish kerak
utt_0086.wav,kiyim yuvish mashinasi ishlab turibdi
utt_0087.wav,xonani tozalash zarur ish
utt_0088.wav,uyni tartibga keltirdim bugun
utt_0089.wav,gullarni sug'orish kerak
utt_0090.wav,deraza oynalarini latta bilan tozalab artdim
utt_0091.wav,polni supurdim va artdim endi pol top toza
utt_0092.wav,dugonamning idishlarni yuvish navbati keldi
utt_0093.wav,hech qachon axlat tashlab kelishni unutmayman
utt_0094.wav,elektr energiyasini tejash muhim
utt_0095.wav,suvni behuda sarflamaslik kerak
utt_0096.wav,chiqindilar kopaymasligi uchun plastikdan qayta foydalanish zarur
utt_0097.wav,ekologiyani muhofaza qilish barchamizning burchimiz
utt_0098.wav,daraxtlar ekilishi kerak ko'proq shunda havo tozlanadi
utt_0099.wav,havoni hech qachon ifloslantirmaslik lozim
utt_0100.wav,tabiatni asrash kerak avlodlar uchun
utt_0101.wav,hayvonlarni himoya qilish muhim vazifa
utt_0102.wav,dengiz suvini tozalash zarur
utt_0103.wav,parklar odamlar uchun kerak
utt_0104.wav,kitoblar bilim manbai hisoblanadi
utt_0105.wav,kutubxonada ko'p kitoblar mavjud
utt_0106.wav,yangi kitob sotib oldim bugun
utt_0107.wav,roman o'qish juda qiziqarli
utt_0108.wav,she'rlar yodlash xotirani yaxshilaydi
utt_0109.wav,jurnallarni muntazam o'qiyman
utt_0110.wav,gazeta bugun qiziqarli maqola chop etdi
utt_0111.wav,internet orqali ma'lumot topamiz
utt_0112.wav,ijtimoiy tarmoqlarda vaqt o'tkazaman
utt_0113.wav,video tomosha qilish sevimli mashg'ulot
utt_0114.wav,bloglar yozish mashhur bo'ldi
utt_0115.wav,podcast tinglab mashq qilaman
utt_0116.wav,online kurslar o'rganish imkoniyati beradi
utt_0117.wav,masofaviy ishlar ko'payib bormoqda
utt_0118.wav,zoom orqali uchrashuvlar o'tkazamiz
utt_0119.wav,elektron pochta orqali xabar yubordim
utt_0120.wav,fayllarni bulutga saqlayman
utt_0121.wav,parolni eslab qolish qiyin
utt_0122.wav,xavfsizlik muhim internet dunyosida
utt_0123.wav,ma'lumotlarni himoyalash kerak
utt_0124.wav,viruslardan ehtiyot bo'lish lozim
utt_0125.wav,kompyuterda zaxira nusxa saqlang
utt_0126.wav,telefonni yangilash vaqti keldi
utt_0127.wav,ilovalarni o'rnatish oson
utt_0128.wav,sozlamalarni tekshirish kerak edi
utt_0129.wav,hozirgina ekranni tozalab kelayapman
utt_0130.wav,komputerim uchun zaryadlovchi topish kerak tezda
utt_0131.wav,ishhonaning qulfini ochish parolini unutdim
utt_0132.wav,skrinshotni qanday olish kerak
